name,author,artwork_url,code,license,like_count,description,top_5_comments
"""The Zone""",squishyam,https://www.lexaloffle.com/bbs/thumbs/pico8_weyubomopo-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/we/weyubomopo-0.p8.png],CC4-BY-NC-SA,1,"""The Zone""squishyam•2026-09-10*2026-09-10 02:33*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profile""The Zone""Cart File|Forum Post|More cartridgesbysquishyamMore Cartridges[View All]""The Zone""bysquishyamCart#weyubomopo-0

								|2026-09-10|Code ▽|Embed ▽|License:CC4-BY-NC-SA1Copy and paste the snippet below into your HTML.PICO-1K Jam 20261",No comments
Code Golf Snake,bbb,https://www.lexaloffle.com/bbs/thumbs/pico8_codegolfsnake-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/co/codegolfsnake-0.p8.png],CC4-BY-NC-SA,1,"Code Golf Snakebbb•2026-09-102026-09-10 02:35•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileCode Golf SnakeCode Golf SnakeCart File|Forum Post|More cartridgesbybbbMore Cartridges[View All]Code Golf SnakebybbbCart#codegolfsnake-0

								|2026-09-10|Code ▽|Embed ▽|License:CC4-BY-NC-SA1Copy and paste the snippet below into your HTML.I wanted to make the game snake in as few tokens as possible, and got it down to 192!Some strategies I used:No cls(), instead the tiles around the snake are cleared.Condensed equations (x=2,y=3 became x,y=2,3)Some jank (spr(,x,y) == spr(0,x,y))If you can optimize it more please let me know, this really was as condensed as I could get it. Some areas I feel probably could be done in less tokens are the controls code and some of the nested if statements.Lmk what you think!codegolfsnaketokensminimal1",No comments
FlappyBird,NinjaLetter2160,https://www.lexaloffle.com/bbs/thumbs/pico8_jefoyezuhe-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/je/jefoyezuhe-0.p8.png],CC4-BY-NC-SA,0,"FlappyBirdNinjaLetter2160•2026-09-092026-09-09 19:19•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileFlappyBirdCart File|Forum Post|More cartridgesbyNinjaLetter2160More Cartridges[View All]FlappyBirdbyNinjaLetter2160Cart#jefoyezuhe-0

								|2026-09-09|Code ▽|Embed ▽|License:CC4-BY-NC-SACopy and paste the snippet below into your HTML.Flappy Bird (PICO-8)A tiny retro remake of the classic one-button flyer, built entirely from 8x8 tiles. This is my first game, so go easy on me! Tap the X or O button to make the bird flap — let go and gravity takes over fast, so timing is everything. Weave through the gaps in the pipes without clipping the top, bottom, or floor to rack up your score. Miss one, and it's game over — press the button again to jump right back in.How to play:X or O button — flap / start / retryEach pipe you clear adds 1 to your scoreTouching a pipe, the ceiling, or the floor ends the runpico-8flappybirdflappybirdarcadecasualone-buttonretropixel-artf",No comments
pico pong,chimuenico,https://www.lexaloffle.com/bbs/thumbs/pico8_fkesazuja-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fk/fkesazuja-0.p8.png],CC4-BY-NC-SA,0,"pico pongchimuenico•2026-09-09*2026-09-09 18:48*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilepico pongCart File|Forum Post|More cartridgesbychimuenicoMore Cartridges[View All]pico pongbychimuenicoCart#fkesazuja-0

								|2026-09-09|Code ▽|Embed ▽|License:CC4-BY-NC-SACopy and paste the snippet below into your HTML.",No comments
Bouncing ball,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_bouncingballalkhan-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/bo/bouncingballalkhan-1.p8.png],CC4-BY-NC-SA,2,"Bouncing ballAlkhan•2026-09-09*2026-09-09 05:27*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileBouncing ballCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]Bouncing ballbyAlkhanCart#bouncingballalkhan-1

								|2026-09-09|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.A recreation of Bouncing Ball (1953) — one of the earliest known real-time graphical computer games.simulator2",No comments
Retro Rewind Volume 1,mabbees,https://www.lexaloffle.com/bbs/thumbs/pico8_retro_rewind_vol1-4.png,[Cart: https://www.lexaloffle.com/bbs/cposts/re/retro_rewind_vol1-4.p8.png],No License,3,"Retro Rewind Volume 1mabbees•2026-09-08*2026-09-08 23:17*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profileretro_rewind_vol1Cart File|Forum Post|More cartridgesbymabbeesMore Cartridges[View All]retro_rewind_vol1bymabbeesCart#retro_rewind_vol1-4

								|2026-09-10|Code ▽|Embed ▽|No License3Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.What's this? A mixtape from your friends?? Amazing!.✧˖°.Track List.✧˖°.Here Beside YouBefore You GoIsekaiStrawberry Crepes Forever.✧˖°.About.✧˖°.Retro Rewind is part of the Tomodachi 8-in-1 collection, along withRevolutionary GirlsandSpooky Stylin'. You can get the full bundle on itchhttps://illuminesce.itch.io/tomodachi-8in1, which even contains some chapters not yet released on the BBS! (or you can wait... they'll be here eventually)Also, if you like my music, you can get it on my Bandcamphttps://mabbees.bandcamp.com/album/retro-rewind-1musicmixtape3",No comments
Russian checkers,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_russiancheckersalkhan-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ru/russiancheckersalkhan-1.p8.png],CC4-BY-NC-SA,4,"Russian checkersAlkhan•2026-09-08*2026-09-08 09:22*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileRussian checkersCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]Russian checkersbyAlkhanCart#russiancheckersalkhan-1

								|2026-09-08|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.Russian checkers — a classic checkers variant with flying kings and mandatory captures.boardstrategy4",No comments
"""Shadow""",squishyam,https://www.lexaloffle.com/bbs/thumbs/pico8_mifanayipu-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/mi/mifanayipu-1.p8.png],CC4-BY-NC-SA,3,"""Shadow""squishyam•2026-09-08*2026-09-08 08:26*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profile""Shadow""Cart File|Forum Post|More cartridgesbysquishyamMore Cartridges[View All]""Shadow""bysquishyamCart#mifanayipu-1

								|2026-09-08|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.Submission for the 2026 National Film and Television School ""Game Poem"" Jam, September 7-8 2026A few tiles are from the excellentCanari 8BIT TopDown Packby Johan Vinet/Canari GamesAll other art/music/programming by me3",No comments
pilatro_35,Jabz,https://www.lexaloffle.com/bbs/thumbs/pico8_pilatro_35-2.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pi/pilatro_35-2.p8.png],No License,3,"pilatro_35Jabz•2026-09-08*2026-09-08 05:37*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilepilatro_35Cart File|Forum Post|More cartridgesbyJabzMore Cartridges[View All]pilatro_35byJabzCart#pilatro_35-2

								|2026-09-08|Code ▽|Embed ▽|No License3Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.Updates!This is my newest update to the Pico8 Balatro port.In this update I've added:Planet cards (hand levels)+17 new Joker cardsSeudo Tarot cards (I'm not in love with how I've implemented tarot cards for the 8ball, will fix later)Controls:Mouse: select/drag | Holding Right click shows descriptionsX: play/buyC: discard/sellRules:Basically the same as baseBalatrowith some exclusion due to pico8 limitation + me probably being dumb.Core Game StructureAntes and Blinds:Each Ante consists of three rounds called Blinds: aSmall Blind, aBig Blind, and aBoss Blind.Winning a Run:Successfully clear all 8 Antes to win the standard run.Turn and Hand RulesDrawing & Playing:You start round drawing 8 cards. You can play up to 5 cards from your hand to make a valid poker hand.Discards:You can discard up to 5 unwanted cards a limited number of times per round to try and draw better combinations. You cannot both play and discard on the same turn.Scoring MechanicsScores are calculated using a two-part math system:Chips x Mult(Chips are base points from the cards, multiplied by your multiplier).Cards:Base values of played cards add to your Chips.Left-to-Right Order:Scoring resolves from left to right, meaning card placement and the positioning of your Jokers matter significantly for maximizing addition and multiplication.The Shop & EnhancementsAfter beating a blind, you enter theShopto spend money earned from remaining hands. interest, and base income.Jokers:Up to 5 special modifier cards that drastically break rules and boost chips or m",No comments
scoundrel-8 (prototype),Red_Right_Hand_,https://www.lexaloffle.com/bbs/thumbs/pico8_scoundreleight-5.png,[Cart: https://www.lexaloffle.com/bbs/cposts/sc/scoundreleight-5.p8.png],No License,1,"scoundrel-8 (prototype)Red_Right_Hand_•2026-09-08*2026-09-08 02:27*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilescoundrel-8 (test, please ignore)Cart File|Forum Post|More cartridgesbyRed_Right_Hand_More Cartridges[View All]scoundrel-8 (test, please ignore)byRed_Right_Hand_Cart#scoundreleight-5

								|2026-09-10|Code ▽|Embed ▽|No License1Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.Pixel-artScoundrel. A game prototype serving as a foundation for future dungeon crawlers I plan to create using the same underlying mechanics asScoundrel.rogue-likecard-gamedungeon-crawler1",No comments
